Player,Team,Mat,Inns,Ct,Max,Ct/Inn
AK Markram,SA,9,9,8,4,0.888
GJ Maxwell,AUS,7,7,7,4,1
HC Brook,ENG,8,8,7,2,0.875
T Stubbs,SA,9,9,7,2,0.777
Tanzim Hasan Sakib,BAN,7,7,6,2,0.857
Mohammad Nabi,AFG,8,8,6,2,0.75
H Klaasen,SA,9,9,6,2,0.666
LV van Beek,NED,4,4,5,3,1.25
J Charles,WI,6,6,5,2,0.833
TH David,AUS,7,7,5,2,0.714
R Powell,WI,7,7,5,2,0.714
Gulbadin Naib,AFG,8,8,5,1,0.625
PD Salt,ENG,8,8,5,1,0.625
RG Sharma,IND,8,8,5,2,0.625
SA Yadav,IND,8,8,5,2,0.625
KIC Asalanka,SL,3,3,4,2,1.333
PHKD Mendis,SL,3,3,4,2,1.333
SA Engelbrecht,NED,4,4,4,2,1
DJ Mitchell,NZ,4,4,4,3,1
MA Starc,AUS,5,5,4,2,0.8
RL Chase,WI,6,6,4,2,0.666
JR Hazlewood,AUS,6,6,4,1,0.666
Najmul Hossain Shanto,BAN,7,7,4,2,0.571
DA Warner,AUS,7,7,4,1,0.571
AR Patel,IND,8,8,4,1,0.5
Rashid Khan,AFG,8,8,4,2,0.5
RR Hendricks,SA,9,9,4,2,0.444
M Jansen,SA,9,9,4,2,0.444
Soumya Sarkar,BAN,2,2,3,2,1.5
DS Airee,NEP,3,3,3,2,1
MA Jones,SCOT,4,3,3,2,1
BFW de Leede,NED,4,4,3,2,0.75
GD Phillips,NZ,4,4,3,1,0.75
D Wiese,NAM,4,4,3,2,0.75
AS Joseph,WI,7,7,3,1,0.428
Rishad Hossain,BAN,7,7,3,2,0.428
AD Russell,WI,7,7,3,2,0.428
Shakib Al Hasan,BAN,7,7,3,1,0.428
Arshdeep Singh,IND,8,8,3,1,0.375
RA Jadeja,IND,8,8,3,3,0.375
DA Miller,SA,9,9,3,1,0.333
K Rabada,SA,9,9,3,2,0.333
KR Mayers,WI,1,1,2,2,2
Mohammad Rizwan,PAK,4,1,2,2,2
S Lamichhane,NEP,2,2,2,1,1
Shoaib Khan,OMA,2,2,2,2,1
GH Dockrell,IRE,3,3,2,1,0.666
PW Hasaranga,SL,3,3,2,1,0.666
Imad Wasim,PAK,3,3,2,2,0.666
A Johnson,CAN,3,3,2,1,0.666
JB Little,IRE,3,3,2,2,0.666
B McMullen,SCOT,4,3,2,1,0.666
Mohammed Siraj,IND,3,3,2,2,0.666
RG Mukasa,UGA,3,3,2,2,0.666
AK Sah,NEP,3,3,2,1,0.666
HT Tector,IRE,3,3,2,2,0.666
M Theekshana,SL,3,3,2,1,0.666
MRJ Watt,SCOT,4,3,2,1,0.666
Fakhar Zaman,PAK,4,4,2,2,0.5
LH Ferguson,NZ,4,4,2,1,0.5
Jaker Ali,BAN,4,4,2,1,0.5
VJ Kingma,NED,4,4,2,2,0.5
B Masaba,UGA,4,4,2,1,0.5
Mohammad Amir,PAK,4,4,2,1,0.5
MP O'Dowd,NED,4,4,2,2,0.5
AR Ramjani,UGA,4,4,2,1,0.5
R Trumpelmann,NAM,4,4,2,1,0.5
A Vala,PNG,4,4,2,2,0.5
SM Curran,ENG,5,5,2,1,0.4
CJ Jordan,ENG,5,5,2,1,0.4
Kuldeep Yadav,IND,5,5,2,1,0.4
MA Wood,ENG,5,5,2,1,0.4
CJ Anderson,USA,6,6,2,1,0.333
Harmeet Singh,USA,6,6,2,1,0.333
NR Kumar,USA,6,6,2,1,0.333
SR Taylor,USA,6,6,2,2,0.333
Karim Janat,AFG,7,7,2,1,0.285
MR Marsh,AUS,7,7,2,1,0.285
Noor Ahmad,AFG,7,7,2,2,0.285
SE Rutherford,WI,7,7,2,1,0.285
Towhid Hridoy,BAN,7,7,2,1,0.285
A Zampa,AUS,7,7,2,2,0.285
MM Ali,ENG,8,8,2,1,0.25
JJ Bumrah,IND,8,8,2,1,0.25
Ibrahim Zadran,AFG,8,8,2,1,0.25
V Kohli,IND,8,8,2,1,0.25
LS Livingstone,ENG,8,8,2,1,0.25
KA Maharaj,SA,8,8,2,1,0.25
HH Pandya,IND,8,8,2,1,0.25
A Nortje,SA,9,9,2,1,0.222
F Achelam,UGA,1,1,1,1,1
BJ Currie,SCOT,2,1,1,1,1
Mohammad Nadeem,OMA,1,1,1,1,1
AC Agar,AUS,2,2,1,1,0.5
Iftikhar Ahmed,PAK,2,2,1,1,0.5
Junaid Siddiqui,CAN,2,2,1,1,0.5
SI Kamea,PNG,2,2,1,1,0.5
Karan KC,NEP,2,2,1,1,0.5
Milind Kumar,USA,2,2,1,1,0.5
JDS Neesham,NZ,2,2,1,1,0.5
